esn	owner	place	name	model_doc	year
33229431	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33229431	QSK50	2023
33230182	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33230182	QSK50	2023
33230472	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33230472	QSK50	2023
33229400	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33229400	QSK50	2023
33230183	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33230183	QSK50	2023
33210083	АО "Полюс Магадан"	АТЦ_Руководство	ДВС QSK60-C №33210083	QSK60-C	2001
33224343	АО "Полюс Магадан"	УОГР_ПаркЭкскаватор_Komatsu PC-4000	ДВС QSK60 №33224343	QSK60	2001
71147960	ООО "Полюс Сухой Лог"	АТЦ_Парк погрузчиков LiuGong	ДВС 40C3003 № 71147960	40C3003	2025
71156161	ООО "Полюс Сухой Лог"	АТЦ_Парк погрузчиков LiuGong	ДВС 40C3003 №71156161	40C3003	2025
93047320	ООО "Полюс Сухой Лог"	АТЦ_парк дорожной техники	ДВС 6BTA5.9-C155	6BTA5.9-C155	2023
5593626	ООО "Полюс Сухой Лог"	Парк Yangzi DR75	ДВС QSK19	QSK19	2022
