machine	vin	esn	model	owner	year
СЭБТ - Парк спецтехники		33208954	QSK60-C	АО "Полюс Красноярск"	2017
СЭТТ - Парк спецтехники		35354607	QSM11-C	АО "Полюс Красноярск"	2019
СЭТТ - Парк спецтехники		21867719	8.3	АО "Полюс Красноярск"	2010
СЭТТ - Парк спецтехники		21853604	QSB6.7-C165	АО "Полюс Красноярск"	2012
СЭТТ - Парк экскаваторов		82099327	QSB6.7-C190-31	АО "Полюс Красноярск"	2020
АТЦ_Парк БелАЗ 75473 (ПЩК)		37271633	KTA19-C	АО "Полюс Магадан"	2001
АТЦ_Парк БелАЗ 75473 (ПЩК)		37271649	KTA19-C	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33210614	QSK50	АО "Полюс Магадан"	2018
АТЦ_Парк автосамосвалов Komatsu 730E		33200209	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33211219	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33210768	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33211641	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33211169	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33212689	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33211363	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33203638	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33211382	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33211556	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33211271	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33211802	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33210806	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33221821	QSK50	АО "Полюс Магадан"	2017
АТЦ_Парк автосамосвалов Komatsu 730E		33200155	QSK50	АО "Полюс Магадан"	2017
АТЦ_Парк автосамосвалов Komatsu 730E		33210861	QSK50	АО "Полюс Магадан"	2017
АТЦ_Парк автосамосвалов Komatsu 730E		33210940	QSK50	АО "Полюс Магадан"	2001
АТЦ_Парк автосамосвалов Komatsu 730E		33226199	QSK50	АО "Полюс Магадан"	1900
АТЦ_Парк автосамосвалов Komatsu 730E		33203575	QSK50	АО "Полюс Магадан"	
АТЦ_Парк автосамосвалов Komatsu 730E		33223470	QSK50	АО "Полюс Магадан"	
АТЦ_Парк автосамосвалов Komatsu HD1500		33224404	QSK50	АО "Полюс Магадан"	2021
АТЦ_Парк автосамосвалов NHL NTE200		33232872	QSK50	АО "Полюс Магадан"	
АТЦ_Парк автосамосвалов NHL NTE200		33232758	QSK50	АО "Полюс Магадан"	
АТЦ_Парк автосамосвалов NHL NTE200		33232946	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33232852	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33232851	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33231742	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33232925	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33232947	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33230198	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33229401	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33230197	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33229431	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33230182	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33230472	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33229400	QSK50	АО "Полюс Магадан"	2023
АТЦ_Парк автосамосвалов NHL NTE200		33230183	QSK50	АО "Полюс Магадан"	2023
АТЦ_Руководство		33210083	QSK60-C	АО "Полюс Магадан"	2001
УОГР_ПаркЭкскаватор_Komatsu PC-4000		33224343	QSK60	АО "Полюс Магадан"	2001
АТЦ_Парк погрузчиков LiuGong		71147960	40C3003	ООО "Полюс Сухой Лог"	2025
АТЦ_Парк погрузчиков LiuGong		71156161	40C3003	ООО "Полюс Сухой Лог"	2025
АТЦ_парк дорожной техники		93047320	6BTA5.9-C155	ООО "Полюс Сухой Лог"	2023
Парк Yangzi DR75		5593626	QSK19	ООО "Полюс Сухой Лог"	2022
